1	基础知识
2.5.1	信息提取
2.5.1.1	信息筛选提取分析
2.5.1.2	信息整合利用
2.5.2	内容概括
2.5.2.1	要点概括
2.5.3	内容理解
2.5.3.1	标题理解
2.5.3.2	内容理解
2.5.3.3	中心思想理解
2.5.4	语言表达
2.5.4.1	观点感悟
2.5.4.2	方法建议
3	古诗词
3.1	信息提取
3.1.1	信息提取
3.2	内容概括
3.2.1	要点概括
3.2.2	篇章概括
3.3	内容理解
3.3.1	关键字词理解
3.3.2	句子理解
3.3.3	标题理解
3.3.4	诗词内容理解
3.3.5	中心思想理解
3.4	内容赏析
3.4.1	字词赏析
3.4.2	句子赏析
3.4.3	标题赏析
3.4.4	段落赏析
3.4.5	人物分析
3.5	写作手法
3.5.1	描写方法
3.5.2	修辞方法
3.6	语言表达
3.6.1	观点感悟
3.6.2	情景带入
4	文言文
4.1	信息提取
4.1.1	信息提取（字词句段）
4.2	内容概括
4.2.1	要点概括
4.2.2	段落概括
4.2.3	篇章概括
4.3	内容理解
4.3.1	实词的理解
4.3.2	虚词的理解
4.3.3	翻译句子
4.3.4	标题理解
4.3.5	内容理解
4.3.6	中心思想理解
4.4	内容赏析
4.4.1	字词赏析
4.4.2	句子赏析
4.4.3	标题赏析
4.4.4	段落赏析
4.4.5	人物分析与评价
4.5	写作手法
4.5.1	记叙方式
4.5.2	描写方法
4.5.3	说明方法/论证/论据
4.5.4	修辞方法
4.5.5	写作顺序/说明顺序
4.6	语言表达
4.6.1	观点感悟
4.6.2	情景带入
5	作文
5.1	命题作文
5.1.1	写人
5.1.1.1	写一人
5.1.1.2	写两个人
5.1.1.3	写多人
5.1.2	记事
5.1.2.1	记一件事
5.1.2.2	记多件事
5.1.3	写景
5.1.3.1	游记类
5.1.3.2	景物类
5.1.4	状物
5.1.4.1	说明物品
5.1.4.2	借物喻人
5.2	半命题作文
5.2.1	写人
5.2.1.1	写一人
5.2.1.2	写两个人
5.2.1.3	写多人
5.2.2	记事
5.2.2.1	记一件事
5.2.2.2	记多件事
5.2.3	写景
5.2.3.1	游记类
5.2.3.2	景物类
5.2.4	状物
5.2.4.1	说明物品
5.2.4.2	借物喻人
5.3	自拟题作文
5.3.1	写人
5.3.1.1	写一人
5.3.1.2	写两个人
5.3.1.3	写多人
5.3.2	记事
5.3.2.1	记一件事
5.3.2.2	记多件事
5.3.3	写景
5.3.3.1	游记类
5.3.3.2	景物类
5.3.4	状物
5.3.4.1	说明物品
5.3.4.2	借物喻人
5.4	给材料作文
5.4.1	漫画作文
5.4.2	话题作文
5.4.3	图表
5.4.4	续写（补写）
5.4.5	改写
5.4.6	扩写
5.4.7	缩写
5.5	应用作文
5.5.1	建议书
5.5.2	书信
5.5.3	请假条（留言条、借条）
5.5.4	通知
5.5.5	读后感、观后感
5.5.6	自荐信
5.5.7	导游词
5.5.8	表扬稿、演讲稿
5.5.9	日记
5.6	想象作文
5.7	其他
6	文学知识
6.1	中国
6.1.1	先秦时代
6.1.1.1	孔子
6.1.1.1.1	《论语》
6.1.1.2	孟子
6.1.1.2.1	《孟子》
6.1.1.3	庄子
6.1.1.3.1	《庄子》
6.1.1.4	荀子
6.1.1.4.1	《荀子》
6.1.1.5	韩非子
6.1.1.5.1	《韩非子》
6.1.1.6	墨子
6.1.1.6.1	《墨子》
6.1.1.7	列御寇
6.1.1.7.1	《列子》
6.1.1.8	刘向
6.1.1.8.1	《战国策》
6.1.1.9	楚国或巴蜀人
6.1.1.9.1	《山海经》
6.1.1.10	姬昌
6.1.1.10.1	《周易》
6.1.1.11	屈原
6.1.1.11.1	《离骚》
6.1.1.12	晏婴
6.1.1.12.1	《晏子春秋》
6.1.1.13	老子
6.1.1.13.1	《老子》
6.1.1.14	先秦作者群
6.1.1.14.1	《诗经》
6.1.1.15	左丘明
6.1.1.15.1	《左传》
6.1.1.16	孙武
6.1.1.16.1	《孙子兵法》
6.1.2	秦汉时期
6.1.2.1	吕不韦的门客
6.1.2.1.1	《吕氏春秋》
6.1.2.2	刘安
6.1.2.2.1	《淮南子》
6.1.2.3	桓宽
6.1.2.3.1	《盐铁论》
6.1.2.4	孔子或门人弟子
6.1.2.4.1	《孝经》
6.1.2.5	司马迁
6.1.2.5.1	《史记》
6.1.2.6	戴圣
6.1.2.6.1	《礼记》
6.1.2.7	刘向
6.1.2.7.1	《说苑》
6.1.3	魏晋南北朝
6.1.3.1	诸葛亮
6.1.3.1.1	《诫外生书》
6.1.3.2	陈寿
6.1.3.2.1	《三国志》
6.1.3.3	范晔
6.1.3.3.1	《后汉书》
6.1.3.4	郭茂倩
6.1.3.4.1	《乐府诗集·敕勒歌》
6.1.3.4.2	《乐府诗集·江南》
6.1.3.5	陶渊明
6.1.3.5.1	《杂诗》
6.1.3.5.2	《饮酒（其五）》
6.1.3.6	刘义庆
6.1.3.6.1	《世说新语》
6.1.3.7	刘勰
6.1.3.7.1	《文心雕龙》
6.1.3.8	曹植
6.1.3.8.1	《七步诗》
6.1.4	唐朝
6.1.4.1	骆宾王
6.1.4.1.1	《咏鹅》
6.1.4.2	贺知章
6.1.4.2.1	《咏柳》
6.1.4.3	王维
6.1.4.3.1	《送梓州李使君》
6.1.4.3.2	《积雨辋川庄作 / 秋归辋川庄作》
6.1.4.3.3	《送元二使安西》
6.1.4.3.4	《使至塞上》
6.1.4.3.5	《鸟鸣涧》
6.1.4.4	王建
6.1.4.4.1	《雨过山村》
6.1.4.5	王勃
6.1.4.5.1	《送杜少府之任蜀州》
6.1.4.6	张九龄
6.1.4.6.1	《望月怀远》
6.1.4.6.2	《西江夜行》
6.1.4.7	李白
6.1.4.7.1	《古朗月行》
6.1.4.7.2	《赠汪伦》
6.1.4.7.3	《静夜思》
6.1.4.7.4	《望庐山瀑布》
6.1.4.7.5	《夜宿山寺》
6.1.4.7.6	《望天门山》
6.1.4.7.7	《早发白帝城》
6.1.4.7.8	《黄鹤楼送孟浩然之广陵》
6.1.4.7.9	《独坐敬亭山》
6.1.4.7.10	《春夜洛城闻笛》
6.1.4.8	王昌龄
6.1.4.8.1	《采莲曲》
6.1.4.8.2	《芙蓉楼送辛渐》
6.1.4.9	杜甫
6.1.4.9.1	《绝句》
6.1.4.9.2	《曲江二首》
6.1.4.9.3	《梦李白二首》
6.1.4.9.4	《春夜喜雨》
6.1.4.9.5	《江畔独步寻花》
6.1.4.10	白居易
6.1.4.10.1	《池上》
6.1.4.10.2	《赋得古原草送别》
6.1.4.10.3	《忆江南》
6.1.4.10.4	《村夜》
6.1.4.10.5	《闻官军收河南河北》
6.1.4.11	贾岛
6.1.4.11.1	《寻隐者不遇》
6.1.4.12	王之涣
6.1.4.12.1	《登鹳雀楼》
6.1.4.12.1	《凉州词》
6.1.4.13	孟郊
6.1.4.13.1	《游子吟》
6.1.4.14	胡令能
6.1.4.14.1	《小儿垂钓》
6.1.4.15	柳宗元
6.1.4.15.1	《江雪》
6.1.4.16	李绅
6.1.4.16.1	《悯农》
6.1.4.17	杜牧
6.1.4.17.1	《山行》
6.1.4.17.2	《清明》
6.1.4.18	刘禹锡
6.1.4.18.1	《望洞庭》
6.1.4.18.2	《浪淘沙》
6.1.4.18.3	《凉州词》
6.1.4.19	林杰
6.1.4.19.1	《乞巧》
6.1.4.20	李商隐
6.1.4.20.1	《嫦娥》
6.1.4.21	张彦远
6.1.4.21.1	《历代名画记》
6.1.4.22	孟浩然
6.1.4.22.1	《春晓》
6.1.4.22.2	《过故人庄》
6.1.4.23	韩愈
6.1.4.23.1	《进学解》
6.1.4.24	张若虚
6.1.4.24.1	《春江花月夜》
6.1.4.25	张志和
6.1.4.25.1	《渔歌子》
6.1.4.26	王驾
6.1.4.26.1	《社日》
6.1.4.27	张籍
6.1.4.27.1	《秋思》
6.1.4.28	马戴
6.1.4.28.1	《灞上秋居》
6.1.4.29	卢纶
6.1.4.29.1	《长安春望》
6.1.4.30	吕岩
6.1.4.30.1	《牧童》
6.1.4.31	张怀瓘
6.1.4.31.1	《书断》
6.1.4.32	刘方平
6.1.4.32.1	《月夜》
6.1.4.33	李贺
6.1.4.33.1	《马诗》
6.1.4.34	韩愈
6.1.4.34.1	《师说》
6.1.4.35	皮日休
6.1.4.35.1	《天竺寺八月十五日夜桂子》
6.1.5	宋朝
6.1.5.1	王应麟
6.1.5.1.1	《三字经》
6.1.5.2	杨万里
6.1.5.2.1	《小池》
6.1.5.2.2	《晓出净慈寺送林子方》
6.1.5.2.3	《舟过安仁》
6.1.5.3	王安石
6.1.5.3.1	《梅花》
6.1.5.3.2	《泊船瓜洲》
6.1.5.3.3	《元日》
6.1.5.4	苏轼
6.1.5.4.1	《赠刘景文》
6.1.5.4.2	《饮湖上初晴后雨》
6.1.5.4.3	《题西林壁》
6.1.5.4.4	《惠崇春江晚景》
6.1.5.4.5	《浣溪沙》
6.1.5.5	叶绍翁
6.1.5.5.1	《夜书所见》
6.1.5.6	朱熹
6.1.5.6.1	《《春日》
6.1.5.6.2	《偶成》
6.1.5.7	晏殊
6.1.5.7.1	《破阵子·春景》
6.1.5.8	汪洙
6.1.5.8.1	《神童诗》
6.1.5.9	陆游
6.1.5.9.10	《游山西村》
6.1.5.10	黄庭坚
6.1.5.10.1	《登快阁》
6.1.5.11	辛弃疾
6.1.5.11.1	《鹧鸪天·送人》
6.1.5.11.2	《清平乐·村居》
6.1.5.11.3	《西江月·夜行黄沙道中》
6.1.5.12	翁卷
6.1.5.12.1	《乡村四月》
6.1.5.13	范成大
6.1.5.13.1	《田园四时杂兴》
6.1.5.14	赵师秀
6.1.5.14.1	《约客》
6.1.5.15	刘著
6.1.5.15.1	《鹧鸪天·雪照山城玉指寒》
6.1.5.16	罗大经
6.1.5.16.1	《鹤林玉露》
6.1.5.17	岳飞
6.1.5.17.1	《满江红》
6.1.5.18	袁采
6.1.5.18.1	《袁氏世范》
6.1.5.19	王观
6.1.5.19.1	《卜算子·送鲍浩然之浙东》
6.1.6	元朝
6.1.6.1	陶宗仪
6.1.6.1.1	《寒号鸟》
6.1.6.2	脱脱，阿鲁图等
6.1.6.2.1	《宋史》
6.1.6.3	白朴
6.1.6.3.1	《天净沙·秋》
6.1.7	明朝
6.1.7.1	唐寅
6.1.7.1.1	《画鸡》
6.1.7.2	罗贯中
6.1.7.2.1	《三国演义》
6.1.7.3	施耐庵
6.1.7.3.1	《水浒传》
6.1.7.4	吴承恩
6.1.7.4.1	《西游记》
6.1.7.5	吴敬梓
6.1.7.5.1	《儒林外史》
6.1.7.6	钱福
6.1.7.6.1	《鹤滩稿》
6.1.7.7	王守仁
6.1.7.7.1	《传习录》
6.1.7.8	于谦
6.1.7.8.1	《石灰吟》
6.1.8	清朝
6.1.8.1	李渔
6.1.8.1.1	《对韵歌》
6.1.8.1.2	《古对今》
6.1.8.2	郑板桥
6.1.8.2.1	《咏雪》
6.1.8.2.2	《竹石》
6.1.8.3	石成金
6.1.8.3.1	《传家宝》
6.1.8.4	高鼎
6.1.8.4.1	《村居》
6.1.8.5	查慎行
6.1.8.5.1	《舟夜书所见》
6.1.8.6	袁枚
6.1.8.6.1	《所见》
6.1.8.7	王士禛
6.1.8.7.1	《将至桐城》
6.1.8.8	纳兰性德
6.1.8.8.1	《长相思》
6.1.8.9	袁枚
6.1.8.9.1	《随园诗话》
6.1.8.10	曹雪芹
6.1.8.10.1	《红楼梦》
6.1.8.11	龚自珍
6.1.8.11.1	《己亥杂诗》
6.1.8.12	张维屏
6.1.8.12.1	《新雷》
6.1.9	近现代
6.1.9.1	叶圣陶
6.1.9.1.1	《瀑布》
6.1.9.1.2	《荷花》
6.1.9.1.3	《爬山虎的脚》
6.1.9.1.4	《记金华的双龙洞》
6.1.9.2	郑振铎
6.1.9.2.1	《燕子》
6.1.9.3	王鲁彦
6.1.9.3.1	《我故乡的杨梅》
6.1.9.4	巴金
6.1.9.4.1	《鸟的天堂》
6.1.9.4.2	《永远不能忘记的事情》
6.1.9.4.3	《家》
6.1.9.5	萧红
6.1.9.5.1	《呼兰河传》
6.1.9.5.2	《回忆鲁迅先生》
6.1.9.6	丰子恺
6.1.9.6.1	《白鹅》
6.1.9.6.2	《缘缘堂再笔》
6.1.9.7	老舍
6.1.9.7.1	《猫》
6.1.9.7.2	《母鸡》
6.1.9.7.3	《趵突泉》
6.1.9.7.4	《草原》
6.1.9.7.5	《林海》
6.1.9.7.6	《北京的春节》
6.1.9.7.7	《养花》
6.1.9.8	碧野
6.1.9.8.1	《七月的天山》
6.1.9.9	管桦
6.1.9.9.1	《小英雄雨来》
6.1.9.10	陈醉云
6.1.9.10.1	《乡下人家》
6.1.9.11	戴望舒
6.1.9.11.1	《在天晴了的时候》
6.1.9.12	林海音
6.1.9.12.1	《城南旧事》
6.1.9.13	张钫
6.1.9.13.1	《小苗与大树的对话》
6.1.9.14	许地山
6.1.9.14.1	《落花生》
6.1.9.15	冰心
6.1.9.15.1	《繁星·春水》
6.1.9.16	艾青
6.1.9.16.1	《帐篷》
6.1.9.16.2	《太阳的话》
6.1.9.17	鲁迅
6.1.9.17.1	《呐喊》
6.1.9.18	臧克家
6.1.9.18.1	《有的人——纪念鲁迅有感》
6.1.9.19	朱自清
6.1.9.19.1	《匆匆》
6.1.9.20	梁实秋
6.1.9.20.1	《过年》
6.1.9.21	何其芳
6.1.9.21.1	《回忆周恩来同志》
6.1.9.21.2	《生活是多么广阔》
6.1.9.22	叶挺
6.1.9.22.1	《囚歌》
6.1.9.23	罗广斌、杨益言
6.1.9.23.1	《红岩》
6.1.10	当代
6.1.10.1	张秋生
6.1.10.1.1	《青蛙写诗》
6.1.10.1.2	《妈妈睡了》
6.1.10.1.3	《铺满金色巴掌的水泥道》
6.1.10.2	金波
6.1.10.2.1	《雨点儿》
6.1.10.2.2	《阳光》
6.1.10.2.3	《树和喜鹊》
6.1.10.2.4	《雨中的树林》
6.1.10.2.5	《百泉村》
6.1.10.2.6	《项链》
6.1.10.2.7	《四个太阳》
6.1.10.3	孙云晓
6.1.10.3.1	《智慧之花》
6.1.10.4	程宏明
6.1.10.4.1	《雪地里的小画家》
6.1.10.5	任溶溶
6.1.10.5.1	《怎么都快乐》
6.1.10.5.2	《没头脑和不高兴》
6.1.10.6	望安
6.1.10.6.1	《胖乎乎的小手》
6.1.10.7	柯岩
6.1.10.7.1	《夜色》
6.1.10.8	屠再华
6.1.10.8.1	《端午粽》
6.1.10.9	韦其麟
6.1.10.9.1	《彩虹》
6.1.10.10	胡木仁
6.1.10.10.1	《荷叶圆圆》
6.1.10.11	圣野
6.1.10.11.1	《文具的家》
6.1.10.12	鲁兵
6.1.10.12.1	《一分钟》
6.1.10.13	嵇鸿
6.1.10.13.1	《动物王国开大会》
6.1.10.13.2	《雪孩子》
6.1.10.14	林颂英
6.1.10.14.1	《小壁虎借尾巴》
6.1.10.14.2	《开满小花的小路》
6.1.10.15	李建树、孙侃
6.1.10.15.1	鲁班造锯
6.1.10.16	孙云晓
6.1.10.16.1	《智慧之花》
6.1.10.17	陈伯吹
6.1.10.17.1	《一匹出色的马》
6.1.10.18	孙幼军
6.1.10.18.1	《小柳树和小枣树》
6.1.10.19	高洪波
6.1.10.19.1	《彩色的梦》
6.1.10.19.2	我想
6.1.10.20	季颖
6.1.10.20.1	《青蛙卖泥塘》
6.1.10.21	吴然
6.1.10.21.1	《大青树下的小学》
6.1.10.21.2	《珍珠泉》
6.1.10.22	汪曾祺
6.1.10.22.1	《自报家门》
6.1.10.23	张之路
6.1.10.23.1	《在牛肚子里旅行》
6.1.10.24	郭风
6.1.10.24.1	《搭船的鸟》
6.1.10.25	菁莽
6.1.10.25.1	《翠鸟》
6.1.10.26	昊天
6.1.10.26.1	《燕子专列》
6.1.10.27	岑桑
6.1.10.27.1	《画杨桃》
6.1.10.28	林清玄
6.1.10.28.1	《和时间赛跑》
6.1.10.28.2	《鞋匠的儿子》
6.1.10.28.3	《桃花心木》
6.1.10.28.4	《绝招》
6.1.10.28.5	《可贵的沉默》
6.1.10.29	翁钦露
6.1.10.29.1	《给老师的一封信》
6.1.10.30	王宏志
6.1.10.30.1	《名碑荟萃》
6.1.10.31	陈英、石蹊
6.1.10.31.1	《我家跨上了“信息高速路”》
6.1.10.32	朱建群
6.1.10.32.1	《果园机器人》
6.1.10.33	薛卫民
6.1.10.33.1	《太阳是大家的》
6.1.10.34	李含冰
6.1.10.34.1	《一面五星红旗》
6.1.10.35	吴晴
6.1.10.35.1	《卖木雕的少年》
6.1.10.36	蒲华清
6.1.10.36.1	《山城的雾》
6.1.10.37	庄之明
6.1.10.37.1	《在金色的海滩上》
6.1.10.38	朱家栋
6.1.10.38.1	《除三害》
6.1.10.39	杨逸畴
6.1.10.39.1	《神奇的雅鲁藏布江大峡谷》
6.1.10.40	赵宗成、朱明元
